publikacija_id,autor_id
171485,91
171503,9581
171504,4519
171514,1064
171516,10446
171521,227
171521,12548
171523,12549
171530,922
171531,1612
171550,8743
171553,12550
171554,162
171555,735
171559,191
171563,399
171563,12551
171563,12552
171565,5243
171566,12553
171567,8418
171568,12554
171571,1008
171574,294
171578,242
171582,12555
171583,12556
171599,12557
171605,12558
171611,6749
171612,5176
171613,6111
171617,298
171618,1503
171622,1024
171635,2638
171638,12559
171651,738
171654,12233
171667,1457
171672,1979
171675,35
171676,659
171678,12560
171679,2929
171680,3889
171687,4179
171709,12561
171711,679
171712,12562
171718,12563
171728,1296
171731,1572
171738,12564
171741,12565
171742,12566
171757,4131
171758,22
171764,727
171769,12567
171788,2810
171791,6847
171792,12568
171795,2404
171810,305
171813,587
171824,12569
171830,284
171841,12570
171842,556
171847,186
171848,99
171852,357
171855,3382
171859,7725
171861,267
171867,1695
171874,12571
171875,3708
171890,788
171891,44
171908,12572
171909,12573
171911,12574
171916,1587
171920,754
171921,2921
171928,1477
171932,12575
171942,1291
171948,4716
171953,480
171979,5285
171981,12576
171996,12577
172000,7959
172003,1273
172004,2144
172004,2486
172004,2804
172004,8480
172004,9030
172004,9456
172004,12578
172004,12579
172008,191
172025,11273
172028,1851
172029,1018
172051,12580
172052,12581
172058,7285
172061,2451
172063,531
172064,445
172070,578
172076,2901
172076,12582
172077,8959
172081,11461
172096,291
172103,358
172105,663
172116,12583
172121,88
172126,1915
172131,12584
172152,482
172167,383
172176,12585
172180,1720
172185,8718
172199,10091
172202,2418
172207,12586
172220,9302
172222,1303
172230,125
172237,2093
172242,12587
172243,1570
172244,1765
172247,5123
172252,11749
172256,12588
172266,419
172268,12589
172269,5080
172273,995
172282,1083
172285,185
172304,5213
172314,4460
172320,12590
172324,12591
172341,73
172357,107
172375,4203
172377,12592
172395,12593
172397,330
172400,12594
172403,949
172408,6021
172415,54
172417,12595
172433,12596
172441,7881
172453,2301
172459,12597
172462,476
172463,157
172469,1009
172472,152
172473,11623
172474,12208
172475,7565
172479,12598
172480,815
172483,12599
172494,9107
172495,12600
172501,3472
172505,12601
172506,12602
172506,12603
172509,6255
172509,6256
172509,12604
172513,2282
172518,2327
172524,194
172525,3532
172544,12605
172549,1375
172563,8080
172566,79
172574,183
172578,1856
172583,394
172586,4682
172589,870
172590,12606
172594,11369
172598,3625
172602,12607
172604,12608
172604,12609
172604,12610
172604,12611
172611,1320
172621,99
172627,12612
172631,139
172632,12613
172639,10488
172646,291
172647,544
172650,3212
172653,931
172678,12614
172683,586
172690,12615
172697,3246
172702,11287
172710,638
172717,12616
172719,242
172724,3712
172731,1451
172732,2309
172741,2555
172742,12617
172754,12618
172757,1774
172758,12619
172776,12620
172776,12621
172776,12622
172780,11802
172795,250
172800,841
172800,842
172812,701
172826,1160
172832,6855
172838,12623
172847,1478
172854,127
172856,12624
172863,1061
172866,5159
172870,689
172879,284
172880,12625
172881,5612
172893,446
172893,447
172895,85
172895,9882
172896,3182
172899,12626
172901,3379
172915,157
172917,12627
172926,1299
172933,679
172934,10196
172941,1201
172969,200
172970,12628
172986,9478
172986,12629
172991,12630
172995,1027
172996,1165
172999,8383
173010,4372
173012,135
173015,48
173018,1175
173019,556
173020,5970
173026,563
173026,12631
173036,9974
173039,1498
173039,2804
173045,7241
173064,3361
173068,150
173075,171
173090,663
173093,578
173100,1180
173100,3529
173105,12632
173112,48
173123,2547
173134,611
173136,800
173148,1303
173151,12633
173154,486
173158,162
173161,383
173168,12634
173170,8
173174,3027
173176,12635
173177,2641
173193,4794
173199,700
173203,12636
173218,12637
173227,12638
173230,12327
173233,3784
173234,340
173235,12639
